"Zeitstempel","Video 1: Welcher Song gefällt Ihnen besser?","Video 2: Welcher Song gefällt Ihnen besser?","Video 3: Welcher Song gefällt Ihnen besser?","Video 4: Welcher Song gefällt Ihnen besser?","Video 5: Welcher Song gefällt Ihnen besser?","Video 6: Welcher Song gefällt Ihnen besser?","Video 7: Welcher Song gefällt Ihnen besser?","Video 8: Welcher Song gefällt Ihnen besser?","Video 9: Welcher Song gefällt Ihnen besser?","Video 10: Welcher Song gefällt Ihnen besser?","War es schwierig für Sie, sich für einen Song zu entscheiden oder war die Wahl immer klar?","Ist Ihnen Musik wichtig?","Haben Sie eine musikalische Affinität?","Spielen Sie ein Instrument?","Welchem Geschlecht fühlen Sie sich zugehörig?","Wie alt sind Sie?"
"2023/05/16 1:01:44 PM OESZ","Song B","Song B","Song A","Song A","Song B","Song B","Song B","Song B","Song B","Song A","3","sehr wichtig","ja","ja, hobbymäßig","weiblich","25-35"
"2023/05/16 1:48:08 PM OESZ","Song A","Song B","Song A","Song B","Song B","Song A","Song B","Song B","Song A","Song B","3","sehr wichtig","ja","ja, professionell","männlich","25-35"
"2023/05/16 2:12:10 PM OESZ","Song B","Song A","Song B","Song B","Song B","Song A","Song B","Song B","Song B","Song A","2","sehr wichtig","ja","ja, hobbymäßig","männlich","25-35"
"2023/05/16 2:33:43 PM OESZ","Song B","Song B","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song B","4","sehr wichtig","ja","nein","männlich","25-35"
"2023/05/16 11:34:06 PM OESZ","Song A","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song B","2","sehr wichtig","ja","ja, professionell","männlich","25-35"
"2023/05/18 10:46:55 AM OESZ","Song B","Song A","Song B","Song A","Song A","Song A","Song B","Song B","Song A","Song B","2","normal","nein","nein","weiblich","50-65"
"2023/05/18 10:54:06 AM OESZ","Song A","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song B","4","sehr wichtig","ja","nein","weiblich","25-35"
"2023/05/18 10:55:35 AM OESZ","Song A","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song B","4","sehr wichtig","ja","nein","weiblich","50-65"
"2023/05/18 2:10:02 PM OESZ","Song B","Song A","Song A","Song B","Song A","Song A","Song B","Song B","Song B","Song B","2","sehr wichtig","ja","nein","männlich","18-25"
"2023/05/18 2:29:31 PM OESZ","Song A","Song B","Song B","Song B","Song B","Song B","Song B","Song A","Song B","Song A","3","sehr wichtig","ja","nein","männlich","18-25"
"2023/05/18 2:54:42 PM OESZ","Song B","Song B","Song B","Song B","Song A","Song A","Song A","Song B","Song B","Song B","2","sehr wichtig","ja","ja, hobbymäßig","männlich","25-35"
